Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-CF-A47Y-01A-11D-A23U-08	7.04570778545005	1.6136413651727	0	7.94042974088144	0	0	0	0	0	9.29386658081506	4.39514882832619	0	18.1746077185326	0	7.51348671773319	7.69177067493574	0	0	0	0	0	0	1.75506036194156	0	0	0	0.335754707039565	0	0	0
TCGA-CF-A5U8-01A-11D-A289-08	6.06971679182373	0	0	5.20033705558044	0	9.7439170618251	1.50539346752761	0	0	0.534618758164314	2.22270340220717	0	0.733952690528075	0	1.09740800563706	12.2027054874083	0	0	0	0	0	0	0	3.06559389941787	0	0	0	0	0	0
TCGA-CF-A7I0-01A-22D-A34U-08	12.2212887916531	9.99858327859139	0	0.0544875036367124	0	5.18011292664176	2.57551883879426	0	0	0.143757429185341	0	0	4.92235982128064	0	3.27644385628466	0.618350119476053	0	0	0	0	0	2.64234756056177	0	1.49992498004494	0	0	0	0	0	0
TCGA-CF-A8HX-01A-11D-A364-08	2.26944406167033	14.7818173118158	0	0	0	17.6174548680676	7.29156167241313	0	0	3.93463142840537	0	0	13.0785009657687	0	0	0	0	0	0	0	0	0	0	1.22532388764816	0	0	0	0	0	0
TCGA-CF-A8HY-01A-11D-A364-08	10.6060042580387	3.54307526549842	0	0.778358651958154	0	0	10.533832062202	0	0	5.91442091753636	0	0	17.9492232716034	0	0	0	0	0.604867464637759	0	0	0	0	0	7.85296324784608	0	0	0	0	19.3995425281268	0
TCGA-CF-A9FF-01A-11D-A38G-08	28.1046790192438	41.088864272479	0	0	0	0	23.6783092663854	0	0	6.67736672061285	0	0	37.6455306749491	0	0	0	0.803137569943482	0	0	0	0	0	0	6.62161117911289	0	0	0	0	0	0
TCGA-CF-A9FH-01A-11D-A38G-08	18.7310559025689	0	0	0	0	1.66530093425842	0	0	0	4.60936164028911	0	0	0.937091115678789	0	0	0	2.79693685298354	0	0	0	0	5.9680869316858	0	4.23334206623428	0	0	0	0	0	0
TCGA-CF-A9FM-01A-11D-A38G-08	0.295025281015221	0	0	0	0	0	0	0	0	0	0.950864801244595	0	0	0	4.29332479001658	13.7967012757094	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CU-A0YN-01A-21D-A10S-08	25.9704700567605	4.75325475911326	0	38.2686658620828	0	4.83619140666631	14.4725092027728	0	0	0	0	0	7.64925427977832	0	6.12838151198421	36.8425355685855	0	0	0	0	0	1.58948832699605	10.6415141369531	0	0	1.1223464841235	0	0	0	0
TCGA-CU-A0YR-01A-12D-A10S-08	0	0.227934999764578	44.7206049760199	0	11.482153062993	28.2317938521202	12.7004354779736	0	0	0	0	0	3.73825969416692	0	3.86684523934572	11.9485501626757	6.43520382151595	0	0	0	6.97021569294422	2.36733036002348	0	0	0	0	0	1.90050964158211	0	0
TCGA-CU-A3KJ-01A-11D-A21A-08	23.3063942215718	27.6561943555532	0	0	0	0	25.6590204380755	0	0	0	0	0	100.385797181494	0	0	0	0	0	0	10.5185500460687	0	0	0	11.1349095411592	0	6.32345362364616	0	0	0	0
TCGA-CU-A3QU-01A-11D-A22Z-08	31.725547321769	10.4908896893469	0	0	0	0	20.519732635488	0	0	6.78272319974338	0	0	16.1086524592579	0	0	2.93036252376298	0	1.41610701925881	0	0	0.351608301599141	0	0	0	0	0	0	0	0	0
TCGA-CU-A3YL-01A-11D-A22Z-08	40.8447322225317	37.708577479702	0	0	0	0	14.5408822490433	0	0	7.82944818246232	0	0	102.303964120912	0	0	0	0	0	0	0	0	0.487437088091835	0	9.71161216894779	0	0	0	0	0	0
TCGA-CU-A5W6-01A-11D-A289-08	38.6542188866417	58.5685149289954	0	0	0	0	9.87246929226617	0	0	13.7367791914664	0	0	72.1434188148097	0	0	14.8470686729506	0	0	0	4.66832684791045	0	0	0	1.86954216397182	0	0	0	0	0	0
TCGA-CU-A72E-01A-12D-A339-08	17.5117902092091	9.8235277614006	0	3.02557666217041	0	0	5.09120673773396	0	0	5.38869341343759	0	1.83260307133443	33.7543722897408	0	0	0	0	1.69441243529789	0	4.58125774041352	0	3.2412300183286	0.7479742352605	0	0	0	0	0.518415926143429	0	4.63242127781194
TCGA-DK-A1A3-01A-11D-A13W-08	46.6463716661596	230.274152473376	0	0	0	0	97.6060023954892	0	0	29.2265411385498	0	0	126.958404948223	0	0	0	0	0	0	0	8.67590000738258	0	0	23.2153221891285	0	37.0987898997777	0	0	0	0
TCGA-DK-A1A5-01A-11D-A13W-08	19.7342301953584	48.9464606728667	0	0	0	13.7727071011098	32.3160673793549	0	0	16.7957983186254	0	0	122.670250357062	0	0	0	0	0	0	0	0	3.86984614666719	0	0	0	0	0	0	0	0
TCGA-DK-A1A6-06A-11D-A42E-08	44.2153109863216	31.2762675051777	5.77734678119329	0	0	0	20.9383052567851	0	0	9.45275117590077	0	3.55512881024609	126.079338885104	0	0	0	6.11951261456523	0	0	0	6.32376437168022	2.09434169116435	0	0	0.262922381808776	0	0	0	2.83415942590572	0
TCGA-DK-A1A7-01A-11D-A13W-08	36.250147180682	27.2989967345489	28.6442721901636	0	67.2477323832681	0	9.97535950277079	0	0	0	0	0	3.88975447396144	0	0	4.30378898936127	0	7.90075370121628	0	0	0	0	0	0	0	14.6137043199468	0	0	0	2.67070423451699
